,word
0,leave
1,campaign
2,britain
3,mister
4,london
5,e.u.
6,european
7,u.k.
8,prime
9,minister
10,union
11,brexit
12,mayor
13,challenge
14,michael
15,economic
16,labour
17,slightly
18,john
19,remain
20,people
21,side
22,british
23,biggest
24,facing
25,gove
26,vote
27,country
28,good
29,thank
30,comments
31,mad
32,here
33,number
34,migration
35,smith
36,leader
37,party
38,former
39,anything
40,again
41,call
42,real
43,talk
44,accused
45,air
46,cheap
