,word
0,party
1,labour
2,prime
3,again
4,angela
5,merkel
6,vote
7,theresa
8,ten
9,used
10,britain
11,pretty
12,british
13,conservative
14,suspended
15,e.u.
16,europe
17,set
18,berlin
19,recent
20,minister
21,referendum
22,street
23,political
24,moment
25,minister's
26,questions
27,twenty
28,once
29,may's
30,even
31,target
32,books
