,word
0,prime
1,minister
2,theresa
3,mister
4,referendum
5,leader
6,party
7,downing
8,street
9,conservative
10,final
11,government
12,missus
13,leadership
14,cabinet
15,british
16,european
17,george
18,m.p.s
19,questions
20,meeting
21,right
22,wednesday
23,leave
24,course
25,people
26,thousand
27,britain
28,union
29,palace
30,country
31,minister's
32,political
33,jeremy
34,commons
35,job
36,here
37,parliament
38,queen
39,become
40,e.u.
41,ten
42,first
43,once
44,service
45,successor
46,legacy
47,remain
48,resignation
49,osborne
50,house
51,economy
52,campaign
53,kind
54,next
55,tribute
56,lead
57,pay
58,top
59,promise
60,number
61,he'd
62,premiership
63,election
64,led
65,corbyn
66,europe
67,politics
68,strong
69,secretary
70,why
71,brexit
72,hour
73,something
74,buckingham
75,moment
76,labour
77,advice
78,marriage
79,change
80,again
81,having
82,home
83,even
84,westminster
85,majority
86,andrea
87,make
88,own
89,power
90,went
91,ministers
92,leaving
93,children
94,conservatives
95,appearance
96,remember
97,seen
98,member
99,decision
100,twenty
101,hold
102,vote
103,full
104,speaking
105,u.k.
106,stand
107,question
108,call
109,public
110,team
111,radio
112,difficult
113,mean
114,news
115,b.b.c.
116,hours
117,taking
118,end
119,tributes
120,teresa
121,days
122,future
123,scotland
124,man
125,big
126,tory
127,correspondent
128,nato
129,given
130,britain's
131,down
132,voted
133,case
134,world
135,evening
136,swiftly
137,twelve
138,person
139,believe
140,hand
141,became
142,lost
143,back
144,door
145,sitting
146,civil
147,good
148,gay
149,buy
150,standing
151,policy
152,leaders
153,mind
154,asked
155,support
156,ways
157,members
158,role
159,doubt
160,may's
161,work
162,wanted
163,national
164,place
165,over
166,confirmed
167,words
168,hands
169,stayed
170,step
171,small
172,immigration
173,coalition
174,united
175,contest
176,losing
177,success
178,faces
179,chaired
180,ministerial
181,hunt
182,pride
183,past
184,opposition
185,taken
186,sides
187,office
188,getting
189,pretty
190,told
191,miss
192,stay
193,former
194,wife
195,record
196,charge
197,issue
198,talk
199,deficit
200,yes
201,extra
202,summit
203,agenda
204,defence
205,we'll
206,real
207,international
208,honour
209,head
210,air
211,set
212,contend
213,awful
214,events
215,mark
216,economic
217,wants
218,middle
219,that'll
220,carried
221,they're
222,happened
223,podcast
224,andrew
225,long
226,instead
227,let
228,prove
229,point
230,hear
231,provide
232,conference
233,emerged
234,steps
235,paid
236,serve
237,turn
238,live
239,really
240,health
241,sadness
242,important
243,moments
244,despatch
245,box
246,roar
247,crowd
248,negotiator
249,equal
250,however
251,who's
252,thank
253,keep
254,achieve
255,voters
256,tony
257,blair
258,john
259,similar
260,sense
261,give
262,form
263,shortly
264,called
265,social
266,ovation
267,biggest
268,serious
269,scottish
270,modern
271,iraq
272,senior
273,post
274,brie
275,professor
276,tossed
277,eighty
278,global
279,gathering
280,talked
281,media
282,philip
283,hammond
284,parliamentary
285,view
286,confident
287,high
288,lose
289,conversation
290,meet
291,majesty
292,signed
293,current
294,front
295,coming
296,little
297,london
298,based
299,tried
300,spend
301,style
302,main
303,no
304,backbench
305,supported
306,couple
307,dignity
308,uncertain
309,they'll
310,thirty
311,stood
312,hoped
313,wonder
314,hit
315,delighted
316,reports
317,clear
318,probably
319,never
320,move
321,september
322,withdrew
323,colleagues
324,content
325,challenge
326,humming
327,congratulate
328,china
329,chancellor
330,tomorrow
331,everyone
332,headed
333,deciding
334,speech
335,income
336,watson
337,labour's
338,meetings
339,business
340,chris
341,perhaps
342,gave
343,official
344,allowed
345,automatically
346,party's
347,appeared
348,happening
349,black
350,won't
351,tendered
352,weekly
353,emotion
354,gordon
355,brown
356,family
357,emotional
358,centre
359,tough
360,takes
361,applauded
362,decided
363,later
364,bay
365,introduction
366,s.n.p.
367,angus
368,robertson
369,congratulating
370,brink
371,different
372,goodbye
373,huge
374,others
375,issues
376,able
377,press
378,women
379,bus
380,applause
381,rather
382,saw
383,try
384,single
385,performance
386,affairs
387,reform
388,expert
389,fact
390,famous
391,start
392,government's
393,immensely
394,reason
395,quick
396,win
397,story
398,reins
399,particularly
400,yet
401,ceased
402,lunch
403,yesterday
404,stable
405,elected
406,great
407,nation
408,ground
409,ambition
410,young
411,responded
412,delivered
413,forward
414,fifth
415,finance
416,wilson
417,etonian
418,irony
419,special
420,advisers
421,severance
