,word
0,prime
1,european
2,minister
3,campaign
4,e.u.
5,vote
6,brexit
7,remain
8,party
9,people
10,conservative
11,back
12,mister
13,blue
14,referendum
15,fear
16,didn't
17,leave
18,b.b.c.
19,political
20,labour
21,questions
22,public
23,pensions
24,george
25,believe
26,immigration
27,union
28,economy
29,osborne
30,dot
31,debate
32,doesn't
33,jeremy
34,state
35,england
36,own
37,supporters
38,german
39,event
40,man
41,government
42,ministers
43,make
44,side
45,even
46,strategy
47,british
48,john
49,times
50,gone
